file	size	character (count)	character (ratio)	temperament (count)	temperament (ratio)	disposition (count)	disposition (ratio)	personality (count)	personality (ratio)	clarity (count)	clarity (ratio)	certainty (count)	certainty (ratio)	lucidity (count)	lucidity (ratio)	precision (count)	precision (ratio)	cooperation (count)	cooperation (ratio)	collaboration (count)	collaboration (ratio)	teamwork (count)	teamwork (ratio)	partnership (count)	partnership (ratio)	creativity (count)	creativity (ratio)	imagination (count)	imagination (ratio)	ingenuity (count)	ingenuity (ratio)	inventiveness (count)	inventiveness (ratio)	discernment (count)	discernment (ratio)	judgement (count)	judgement (ratio)	acumen (count)	acumen (ratio)	understand (count)	understand (ratio)	empathy (count)	empathy (ratio)	sympathy (count)	sympathy (ratio)	compassion (count)	compassion (ratio)	rapport (count)	rapport (ratio)	humility (count)	humility (ratio)	humble (count)	humble (ratio)	modesty (count)	modesty (ratio)	innovation (count)	innovation (ratio)	advance (count)	advance (ratio)	improve (count)	improve (ratio)	inquiry (count)	inquiry (ratio)	question (count)	question (ratio)	query (count)	query (ratio)	integrity (count)	integrity (ratio)	honesty (count)	honesty (ratio)	truth (count)	truth (ratio)	veracity (count)	veracity (ratio)	reliability (count)	reliability (ratio)	open-mindedness (count)	open-mindedness (ratio)	tolerant (count)	tolerant (ratio)	impartial (count)	impartial (ratio)	purposefulness (count)	purposefulness (ratio)	thoughtful (count)	thoughtful (ratio)	consideration (count)	consideration (ratio)	care (count)	care (ratio)	respect (count)	respect (ratio)	esteem (count)	esteem (ratio)	regard (count)	regard (ratio)	recognition (count)	recognition (ratio)	reverence (count)	reverence (ratio)	veneration (count)	veneration (ratio)	worship (count)	worship (ratio)	service (count)	service (ratio)	assist (count)	assist (ratio)	help (count)	help (ratio)	duty (count)	duty (ratio)	wonder (count)	wonder (ratio)	marvel (count)	marvel (ratio)	awe (count)	awe (ratio)	total (count)	total (ratio)
darwin-autobiography	   22612	15	0.0663	0	0.0000	3	0.0133	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	3	0.0133	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	10	0.0442	0	0.0000	2	0.0088	0	0.0000	0	0.0000	0	0.0000	1	0.0044	0	0.0000	0	0.0000	2	0.0088	1	0.0044	0	0.0000	3	0.0133	0	0.0000	0	0.0000	0	0.0000	3	0.0133	1	0.0044	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1	0.0044	22	0.0973	13	0.0575	1	0.0044	0	0.0000	0	0.0000	4	0.0177	0	0.0000	0	0.0000	6	0.0265	3	0.0133	4	0.0177	1	0.0044	12	0.0531	2	0.0088	4	0.0177	117	0.5174
darwin-descent	  307932	619	0.2010	0	0.0000	28	0.0091	0	0.0000	0	0.0000	6	0.0019	0	0.0000	6	0.0019	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	28	0.0091	4	0.0013	0	0.0000	0	0.0000	0	0.0000	0	0.0000	49	0.0159	0	0.0000	64	0.0208	0	0.0000	1	0.0003	0	0.0000	6	0.0019	1	0.0003	0	0.0000	78	0.0253	38	0.0123	2	0.0006	52	0.0169	0	0.0000	1	0.0003	0	0.0000	25	0.0081	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	23	0.0075	106	0.0344	225	0.0731	13	0.0042	107	0.0347	14	0.0045	3	0.0010	0	0.0000	2	0.0006	66	0.0214	7	0.0023	11	0.0036	20	0.0065	70	0.0227	8	0.0026	2	0.0006	1685	0.5472
darwin-expression	  108995	61	0.0560	1	0.0009	5	0.0046	0	0.0000	0	0.0000	4	0.0037	0	0.0000	3	0.0028	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	13	0.0119	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	34	0.0312	0	0.0000	27	0.0248	2	0.0018	1	0.0009	8	0.0073	6	0.0055	13	0.0119	0	0.0000	16	0.0147	6	0.0055	1	0.0009	19	0.0174	8	0.0073	0	0.0000	0	0.0000	19	0.0174	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	9	0.0083	63	0.0578	67	0.0615	0	0.0000	26	0.0239	4	0.0037	1	0.0009	0	0.0000	0	0.0000	34	0.0312	4	0.0037	17	0.0156	1	0.0009	20	0.0183	2	0.0018	0	0.0000	495	0.4541
darwin-life	  193532	125	0.0646	1	0.0005	12	0.0062	3	0.0016	0	0.0000	7	0.0036	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	14	0.0072	5	0.0026	0	0.0000	0	0.0000	0	0.0000	0	0.0000	45	0.0233	0	0.0000	19	0.0098	0	0.0000	0	0.0000	1	0.0005	9	0.0047	10	0.0052	0	0.0000	14	0.0072	40	0.0207	5	0.0026	85	0.0439	1	0.0005	0	0.0000	4	0.0021	56	0.0289	3	0.0016	0	0.0000	0	0.0000	0	0.0000	2	0.0010	0	0.0000	0	0.0000	15	0.0078	141	0.0729	118	0.0610	4	0.0021	50	0.0258	3	0.0016	7	0.0036	1	0.0005	1	0.0005	31	0.0160	36	0.0186	46	0.0238	11	0.0057	90	0.0465	9	0.0047	13	0.0067	1037	0.5358
darwin-more	  209694	91	0.0434	0	0.0000	4	0.0019	3	0.0014	0	0.0000	2	0.0010	0	0.0000	1	0.0005	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	7	0.0033	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	60	0.0286	0	0.0000	5	0.0024	0	0.0000	1	0.0005	0	0.0000	11	0.0052	3	0.0014	0	0.0000	25	0.0119	10	0.0048	7	0.0033	72	0.0343	1	0.0005	1	0.0005	0	0.0000	25	0.0119	2	0.0010	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	14	0.0067	106	0.0505	101	0.0482	4	0.0019	64	0.0305	2	0.0010	0	0.0000	0	0.0000	0	0.0000	32	0.0153	39	0.0186	35	0.0167	3	0.0014	86	0.0410	16	0.0076	6	0.0029	839	0.4001
darwin-origin	  157065	344	0.2190	0	0.0000	6	0.0038	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1	0.0006	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	8	0.0051	1	0.0006	0	0.0000	0	0.0000	0	0.0000	0	0.0000	84	0.0535	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	19	0.0121	0	0.0000	2	0.0013	15	0.0096	85	0.0541	1	0.0006	23	0.0146	0	0.0000	0	0.0000	0	0.0000	31	0.0197	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1	0.0006	0	0.0000	0	0.0000	31	0.0197	51	0.0325	68	0.0433	0	0.0000	56	0.0357	0	0.0000	0	0.0000	0	0.0000	0	0.0000	14	0.0089	4	0.0025	5	0.0032	0	0.0000	38	0.0242	14	0.0089	7	0.0045	909	0.5787
darwin-variation	  182966	490	0.2678	0	0.0000	20	0.0109	0	0.0000	0	0.0000	11	0.0060	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	19	0.0104	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1	0.0005	0	0.0000	0	0.0000	12	0.0066	77	0.0421	0	0.0000	23	0.0126	0	0.0000	0	0.0000	0	0.0000	11	0.0060	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	10	0.0055	130	0.0711	166	0.0907	8	0.0044	16	0.0087	1	0.0005	0	0.0000	0	0.0000	0	0.0000	8	0.0044	9	0.0049	4	0.0022	0	0.0000	29	0.0158	9	0.0049	0	0.0000	1054	0.5761
darwin-voyage	  205628	124	0.0603	0	0.0000	7	0.0034	0	0.0000	0	0.0000	6	0.0029	0	0.0000	1	0.0005	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	10	0.0049	2	0.0010	0	0.0000	0	0.0000	0	0.0000	0	0.0000	32	0.0156	0	0.0000	0	0.0000	3	0.0015	0	0.0000	1	0.0005	11	0.0053	0	0.0000	0	0.0000	19	0.0092	15	0.0073	3	0.0015	27	0.0131	0	0.0000	0	0.0000	1	0.0005	17	0.0083	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	7	0.0034	54	0.0263	89	0.0433	4	0.0019	17	0.0083	0	0.0000	2	0.0010	0	0.0000	1	0.0005	22	0.0107	17	0.0083	14	0.0068	2	0.0010	58	0.0282	8	0.0039	15	0.0073	589	0.2864
gleick-newton	   73787	3	0.0041	0	0.0000	3	0.0041	0	0.0000	0	0.0000	9	0.0122	0	0.0000	2	0.0027	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1	0.0014	9	0.0122	3	0.0041	0	0.0000	0	0.0000	0	0.0000	0	0.0000	49	0.0664	0	0.0000	1	0.0014	0	0.0000	0	0.0000	1	0.0014	2	0.0027	2	0.0027	1	0.0014	5	0.0068	3	0.0041	3	0.0041	54	0.0732	2	0.0027	0	0.0000	0	0.0000	28	0.0379	0	0.0000	1	0.0014	1	0.0014	0	0.0000	0	0.0000	0	0.0000	0	0.0000	3	0.0041	22	0.0298	5	0.0068	3	0.0041	6	0.0081	1	0.0014	0	0.0000	0	0.0000	1	0.0014	7	0.0095	4	0.0054	10	0.0136	1	0.0014	16	0.0217	6	0.0081	2	0.0027	270	0.3659
heilbron-galileo	  199378	59	0.0296	6	0.0030	6	0.0030	3	0.0015	6	0.0030	13	0.0065	0	0.0000	4	0.0020	1	0.0005	5	0.0025	0	0.0000	0	0.0000	2	0.0010	11	0.0055	6	0.0030	3	0.0015	0	0.0000	0	0.0000	1	0.0005	50	0.0251	0	0.0000	1	0.0005	0	0.0000	3	0.0015	5	0.0025	5	0.0025	2	0.0010	2	0.0010	21	0.0105	21	0.0105	11	0.0055	84	0.0421	1	0.0005	7	0.0035	2	0.0010	109	0.0547	1	0.0005	5	0.0025	0	0.0000	2	0.0010	1	0.0005	0	0.0000	0	0.0000	32	0.0160	84	0.0421	34	0.0171	7	0.0035	39	0.0196	2	0.0010	6	0.0030	0	0.0000	3	0.0015	28	0.0140	14	0.0070	102	0.0512	6	0.0030	29	0.0145	34	0.0171	5	0.0025	884	0.4434
stross-edison	  141906	14	0.0099	6	0.0042	3	0.0021	1	0.0007	1	0.0007	6	0.0042	0	0.0000	0	0.0000	3	0.0021	6	0.0042	0	0.0000	5	0.0035	1	0.0007	9	0.0063	5	0.0035	1	0.0007	0	0.0000	0	0.0000	3	0.0021	27	0.0190	1	0.0007	1	0.0007	0	0.0000	0	0.0000	0	0.0000	1	0.0007	0	0.0000	3	0.0021	42	0.0296	21	0.0148	0	0.0000	55	0.0388	0	0.0000	0	0.0000	0	0.0000	10	0.0070	1	0.0007	2	0.0014	0	0.0000	0	0.0000	1	0.0007	0	0.0000	0	0.0000	5	0.0035	61	0.0430	11	0.0078	4	0.0028	34	0.0240	4	0.0028	2	0.0014	1	0.0007	2	0.0014	64	0.0451	63	0.0444	58	0.0409	3	0.0021	33	0.0233	19	0.0134	1	0.0007	594	0.4186
